,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ProbFL,0.8875739644970433,4.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8875739644970433,0.0,0.0,0.0,1.0,0.8875739644970433,0.0,0.0
FloodLoc,25.572770548713194,14.190691278570224,21.53003069260128,21.53003069260128,21.53003069260128,0.06486132874663997,14.190691278570224,27.86510411463913,14.221890314130434,21.53003069260128,25.572770548713194,21.53003069260128,14.072747670100393,12.965446682572267,21.53003069260128,25.572770548713194,12.636230817834292,8.080835897218758
High_T,0.9230769230769198,0.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.9230769230769198,0.0,1.0,1.0,1.0,0.9230769230769198,1.0,1.0
Low_T,8.30769230769231,5.0,6.0,4.0,6.0,6.0,7.0,3.0,7.0,4.0,8.30769230769231,8.0,6.0,4.0,6.0,8.30769230769231,5.0,6.0
Wind,2.8854152958425088,4.766217730811088,2.327243618216589,3.0095267020961547,0.5154639175257733,2.2794340029437095,3.353160514924479,3.0095267020961503,1.1680666553809838,1.0309278350515463,2.8854152958425088,2.7040923614750536,1.3172072908913148,16.948497751578802,1.8549529124406814,2.8854152958425088,2.46949106673577,1.3172072908913155
Precip_Amount,49.15384615384616,16.0,46.0,39.0,39.0,36.0,28.0,36.0,37.0,36.0,49.15384615384616,16.0,29.0,24.0,44.0,49.15384615384616,1.0,42.0
Precip_Cat,141.75443786982248,64.0,149.0,109.0,104.0,64.0,109.0,101.0,100.0,90.0,141.75443786982248,64.0,100.0,109.0,150.0,141.75443786982248,29.0,140.0
