Number_id,ProbFL,Lat,Lon,High_T,Low_T,Wind_dir,Wind_speed,Nil_p,Lght_p,Mod_p,High_p,Amount_p,u_wind,v_wind
1,99,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2,10,40.98,-124.1,53,34,11,4,10,0,0,0,0,-1.9375105583214607,0.7051961718055029
3,8,41.78,-124.24,52,38,9,5,7,3,0,0,0,-2.577319587628866,3.156306183369467e-16
4,10,41.78,-124.24,52,42,14,5,9,1,0,0,0,-1.6566690971302562,1.974341348244789
5,10,42.08,-124.29,53,43,10,5,10,0,0,0,0,-2.5381643118871344,0.4475468496570379
6,10,42.07,-124.29,50,43,14,7,8,2,0,0,1,-2.3193367359823585,2.764077887542704
7,10,42.08,-124.29,53,41,10,6,10,0,0,0,0,-3.045797174264561,0.5370562195884454
8,10,41.78,-124.23,50,41,11,7,10,0,0,0,0,-3.390643477062556,1.23409330065963
9,10,41.78,-124.24,53,40,12,5,10,0,0,0,0,-2.232024236557832,1.2886597938144329
10,10,41.78,-124.24,52,41,12,5,9,1,0,0,0,-2.232024236557832,1.2886597938144329
11,99,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
12,10,40.98,-124.11,54,44,10,4,10,0,0,0,0,-2.0305314495097075,0.3580374797256303
13,10,40.98,-124.11,52,41,12,4,10,0,0,0,0,-1.7856193892462655,1.0309278350515463
14,10,40.97,-124.1,52,46,10,8,10,0,0,0,0,-4.061062899019415,0.7160749594512607
15,9,42.08,-124.29,54,42,11,4,9,1,0,0,0,-1.9375105583214607,0.7051961718055029
16,99,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
17,10,41.78,-124.23,53,45,13,7,8,2,0,0,0,-2.7640778875427037,2.319336735982359
18,9,42.07,-124.29,54,43,9,5,9,1,0,0,0,-2.577319587628866,3.156306183369467e-16
