,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ProbFL,1.27810650887574,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,9.0,1.27810650887574,0.0,1.0,1.0,1.0,1.27810650887574,0.0,0.0
FloodLoc,15.035066173063099,19.376269321279686,8.83751477380259,9.119971013634226,2.332846666092294,1.1928994082840239,2.332846666092294,4.267875344568641,18.457044594788925,13.568858631212814,15.035066173063099,8.99763642956409,18.457044594788925,8.822388396951155,18.457044594788925,15.035066173063099,1.1928994082840239,1.1928994082840239
High_T,1.6153846153846203,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.6153846153846203,1.0,2.0,1.0,0.0,1.6153846153846203,2.0,1.0
Low_T,12.80769230769231,9.0,11.0,10.0,9.0,6.0,7.0,6.0,10.0,9.0,12.80769230769231,7.0,9.0,11.0,7.0,12.80769230769231,10.0,7.0
Wind,2.925406722634686,1.5463917525773194,2.0852164964576985,1.6647793328254015,1.1077609520709428,4.576580416201066,2.0852164964576985,2.085216496457699,1.2695301641150414,1.3534981427448476,2.925406722634686,1.3534981427448476,1.030927835051546,6.162029060361313,1.5463917525773194,2.925406722634686,1.2042957826614937,0.5391076870989159
Precip_Amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precip_Cat,0.3195266272189351,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3195266272189351,1.0,0.0,1.0,0.0,0.3195266272189351,0.0,0.0
