Number_id,ProbFL,Lat,Lon,High_T,Low_T,Wind_dir,Wind_speed,Nil_p,Lght_p,Mod_p,High_p,Amount_p,u_wind,v_wind
1,99,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2,8,39.49,-121.62,46,38,8,6,0,0,8,2,40,-3.0457971742645613,-0.5370562195884434
3,10,39.28,-120.71,43,39,2,13,0,7,3,0,10,-2.2918875583678875,-6.296909314544746
4,8,39.28,-120.71,44,37,6,16,0,3,7,0,17,-7.142477556985063,-4.123711340206183
5,9,39.28,-120.71,46,39,4,12,0,2,8,0,17,-3.9760058331126156,-4.738419235787492
6,9,39.12,-123.2,45,39,3,9,0,0,8,2,20,-2.319587628865982,-4.017643625804096
7,9,39.49,-121.62,45,40,1,11,0,3,7,0,28,-0.9846030692454814,-5.583961486151695
8,9,38.89,-119.99,44,36,2,16,0,1,9,0,20,-2.820784687222016,-7.750042233285842
9,10,39.5,-121.62,46,40,3,13,0,0,10,0,19,-3.350515463917529,-5.803263015050361
10,9,39.28,-120.71,44,37,4,15,0,3,6,1,20,-4.970007291390769,-5.923024044734365
11,99,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
12,10,39.28,-120.71,46,41,2,15,0,0,8,2,40,-2.6444856442706395,-7.265664593705476
13,10,39.1,-121.57,47,39,3,14,0,0,10,0,27,-3.6082474226804155,-6.249667862361927
14,10,40.15,-122.25,47,37,21,20,0,3,7,0,32,5.154639175257733,8.928096946231326
15,9,39.28,-120.71,47,39,3,10,1,6,3,0,12,-2.5773195876288684,-4.464048473115662
16,99,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
17,10,40.18,-122.24,45,38,2,14,0,2,3,5,57,-2.4681866013192635,-6.781286954125111
18,10,40.6,-122.49,47,39,5,14,2,4,4,0,14,-5.528155775085408,-4.638673471964716
