,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ProbFL,6.0,0.0,1.0,16.0,16.0,1.0,4.0,36.0,0.0,9.0,6.0,1.0,0.0,4.0,4.0,6.0,0.0,0.0
FloodLoc,12.770768724590328,0.04720900197067001,0.04720900197067001,14.190691278570224,0.04720900197067001,14.190691278570224,12.962046103332934,8.952988487228085,8.064058088044424,7.738644038923549,12.770768724590328,15.466960532956836,8.840064624180616,15.414099037334301,0.04720900197067001,12.770768724590328,0.28054663269007035,7.354646870621305
High_T,0.34615384615385025,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34615384615385025,0.0,1.0,3.0,1.0,0.34615384615385025,2.0,1.0
Low_T,0.23076923076922995,0.0,4.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.23076923076922995,2.0,1.0,1.0,0.0,0.23076923076922995,1.0,0.0
Wind,2.8537527223615538,0.9961404499335796,3.6085699848272186,6.207007514841391,0.9203136676423447,2.279434002943711,0.0,0.9203136676423447,0.0,3.7327056909430776,2.8537527223615538,2.8480008879910774,0.0,4.33558782585055,3.5767816200344362,2.8537527223615538,3.546978175953309,2.419189957077106
Precip_Amount,28.5,7.0,23.0,19.0,18.0,19.0,22.0,29.0,23.0,20.0,28.5,19.0,24.0,15.0,9.0,28.5,29.0,19.0
Precip_Cat,68.73372781065089,4.0,49.0,36.0,64.0,49.0,64.0,81.0,81.0,49.0,68.73372781065089,64.0,100.0,16.0,9.0,68.73372781065089,29.0,20.0
