,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ProbFL,143.15680473372782,100.0,64.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,143.15680473372782,100.0,100.0,100.0,81.0,143.15680473372782,100.0,81.0
FloodLoc,24.251655016268284,15.385709559897737,16.816709383985813,16.816709383985813,18.457044594788925,18.40719799160415,18.457044594788925,16.73754841115375,16.816709383985813,16.816709383985813,24.251655016268284,15.466960532956836,15.466960532956836,15.414099037334301,18.457044594788925,24.251655016268284,16.73754841115375,18.40719799160415
High_T,2.53846153846154,1.0,2.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,2.53846153846154,0.0,2.0,2.0,0.0,2.53846153846154,1.0,0.0
Low_T,8.65384615384615,13.0,9.0,5.0,4.0,4.0,6.0,6.0,7.0,6.0,8.65384615384615,3.0,6.0,1.0,5.0,8.65384615384615,2.0,4.0
Wind,0.5306624726252278,0.6535809857057474,1.3341187891882509,0.8950936993140743,0.8950936993140729,1.4779993314804047,1.1077609520709417,1.1599034643637187,0.0,0.0,0.5306624726252278,0.9521855043595333,0.5154639175257734,1.916568762482045,0.6535809857057474,0.5306624726252278,1.1599034643637194,1.3341187891882509
Precip_Amount,0.11538461538461539,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0
Precip_Cat,0.5680473372781057,0.0,9.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.5680473372781057,0.0,0.0,0.0,1.0,0.5680473372781057,4.0,1.0
