Number_id,ProbFL,Lat,Lon,High_T,Low_T,Wind_dir,Wind_speed,Nil_p,Lght_p,Mod_p,High_p,Amount_p,u_wind,v_wind
1,99,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2,1,43.41,-124.24,49,41,1,3,10,0,0,0,0,-0.26852810979422215,-1.5228985871322804
3,1,44.13,-123.22,49,43,0,2,10,0,0,0,0,-1.8937837100216804e-16,-1.0309278350515465
4,2,44.58,-124.06,48,42,34,4,8,2,0,0,0,0.7051961718055028,-1.9375105583214607
5,0,45.62,-122.65,48,41,35,5,10,0,0,0,0,0.44754684965703717,-2.5381643118871344
6,0,0.0,0.0,47,38,17,3,10,0,0,0,0,-0.26852810979422215,1.5228985871322804
7,0,45.62,-122.65,48,39,0,2,10,0,0,0,0,-1.8937837100216804e-16,-1.0309278350515465
8,1,45.55,-122.41,47,38,36,2,10,0,0,0,0,6.312612366738935e-17,-1.0309278350515465
9,1,42.08,-124.29,48,42,35,7,10,0,0,0,0,0.626565589519852,-3.5534300366419878
10,3,43.98,-124.11,47,41,35,4,8,2,0,0,0,0.35803747972562977,-2.0305314495097075
11,99,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
12,0,46.16,-123.88,48,39,35,4,9,1,0,0,0,0.35803747972562977,-2.0305314495097075
13,1,42.08,-124.29,47,41,1,4,10,0,0,0,0,-0.3580374797256296,-2.0305314495097075
14,1,44.13,-123.21,48,43,18,6,9,1,0,0,0,1.8937837100216804e-16,3.0927835051546393
15,1,42.08,-124.29,49,39,1,3,10,0,0,0,0,-0.26852810979422215,-1.5228985871322804
16,99,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
17,0,0.0,0.0,47,42,0,8,10,0,0,0,0,-7.575134840086721e-16,-4.123711340206186
18,0,0.0,0.0,48,39,0,6,10,0,0,0,0,-5.68135113006504e-16,-3.0927835051546393
